temperature[F],precipitation[cm/hour],wind[km/hour],j,d_j
35.5,48.08,0.76,10,122
22.5,3.99,4.56,1,148
22.5,3.99,4.56,2,129
22.5,3.99,4.56,3,113
22.5,3.99,4.56,4,116
22.5,3.99,4.56,5,154
22.5,3.99,4.56,6,140
22.5,3.99,4.56,7,93
22.5,3.99,4.56,8,171
22.5,3.99,4.56,9,188
22.5,3.99,4.56,10,120
58.3,19.39,2.3,1,198
58.3,19.39,2.3,2,169
58.3,19.39,2.3,3,137
58.3,19.39,2.3,4,145
58.3,19.39,2.3,5,203
58.3,19.39,2.3,6,186
58.3,19.39,2.3,7,131
58.3,19.39,2.3,8,228
58.3,19.39,2.3,9,240
58.3,19.39,2.3,10,159
30.4,40.05,2.0,1,145
30.4,40.05,2.0,2,127
30.4,40.05,2.0,3,105
30.4,40.05,2.0,4,114
30.4,40.05,2.0,5,156
30.4,40.05,2.0,6,145
30.4,40.05,2.0,7,100
30.4,40.05,2.0,8,172
30.4,40.05,2.0,9,179
30.4,40.05,2.0,10,123
91.4,55.52,0.5,1,205
91.4,55.52,0.5,2,164
91.4,55.52,0.5,3,149
91.4,55.52,0.5,4,154
91.4,55.52,0.5,5,206
91.4,55.52,0.5,6,200
91.4,55.52,0.5,7,137
91.4,55.52,0.5,8,233
91.4,55.52,0.5,9,255
91.4,55.52,0.5,10,169
43.1,14.2,2.4,1,186
43.1,14.2,2.4,2,156
43.1,14.2,2.4,3,132
43.1,14.2,2.4,4,135
43.1,14.2,2.4,5,192
43.1,14.2,2.4,6,177
43.1,14.2,2.4,7,114
43.1,14.2,2.4,8,215
43.1,14.2,2.4,9,232
43.1,14.2,2.4,10,145
17.0,12.51,4.26,1,136
17.0,12.51,4.26,2,119
17.0,12.51,4.26,3,96
17.0,12.51,4.26,4,109
17.0,12.51,4.26,5,143
17.0,12.51,4.26,6,138
17.0,12.51,4.26,7,93
17.0,12.51,4.26,8,159
17.0,12.51,4.26,9,179
17.0,12.51,4.26,10,119
61.9,29.05,2.96,1,187
61.9,29.05,2.96,2,152
61.9,29.05,2.96,3,136
61.9,29.05,2.96,4,132
61.9,29.05,2.96,5,192
61.9,29.05,2.96,6,177
61.9,29.05,2.96,7,125
61.9,29.05,2.96,8,213
61.9,29.05,2.96,9,229
61.9,29.05,2.96,10,149
61.4,50.04,2.89,1,163
61.4,50.04,2.89,2,134
61.4,50.04,2.89,3,115
61.4,50.04,2.89,4,123
61.4,50.04,2.89,5,172
61.4,50.04,2.89,6,160
61.4,50.04,2.89,7,103
61.4,50.04,2.89,8,190
61.4,50.04,2.89,9,205
61.4,50.04,2.89,10,128
21.4,46.38,0.95,1,135
21.4,46.38,0.95,2,110
21.4,46.38,0.95,3,101
21.4,46.38,0.95,4,103
21.4,46.38,0.95,5,145
21.4,46.38,0.95,6,137
21.4,46.38,0.95,7,89
21.4,46.38,0.95,8,164
21.4,46.38,0.95,9,176
21.4,46.38,0.95,10,110
47.8,29.6,1.76,1,178
47.8,29.6,1.76,2,151
47.8,29.6,1.76,3,127
47.8,29.6,1.76,4,132
47.8,29.6,1.76,5,182
47.8,29.6,1.76,6,175
47.8,29.6,1.76,7,119
47.8,29.6,1.76,8,208
47.8,29.6,1.76,9,217
47.8,29.6,1.76,10,149
21.1,11.47,4.08,1,150
21.1,11.47,4.08,2,124
21.1,11.47,4.08,3,101
21.1,11.47,4.08,4,114
21.1,11.47,4.08,5,154
21.1,11.47,4.08,6,140
21.1,11.47,4.08,7,100
21.1,11.47,4.08,8,170
21.1,11.47,4.08,9,181
21.1,11.47,4.08,10,123
17.8,25.82,1.64,1,150
17.8,25.82,1.64,2,120
17.8,25.82,1.64,3,105
17.8,25.82,1.64,4,112
17.8,25.82,1.64,5,152
17.8,25.82,1.64,6,146
17.8,25.82,1.64,7,96
17.8,25.82,1.64,8,176
17.8,25.82,1.64,9,179
17.8,25.82,1.64,10,117
57.0,0.74,3.75,1,199
57.0,0.74,3.75,2,165
57.0,0.74,3.75,3,144
57.0,0.74,3.75,4,152
57.0,0.74,3.75,5,205
57.0,0.74,3.75,6,197
57.0,0.74,3.75,7,128
57.0,0.74,3.75,8,235
57.0,0.74,3.75,9,246
57.0,0.74,3.75,10,165
90.1,23.26,0.75,1,246
90.1,23.26,0.75,2,201
90.1,23.26,0.75,3,169
90.1,23.26,0.75,4,184
90.1,23.26,0.75,5,256
90.1,23.26,0.75,6,236
90.1,23.26,0.75,7,153
90.1,23.26,0.75,8,280
90.1,23.26,0.75,9,302
90.1,23.26,0.75,10,197
42.2,20.2,0.74,1,184
42.2,20.2,0.74,2,155
42.2,20.2,0.74,3,132
42.2,20.2,0.74,4,142
42.2,20.2,0.74,5,199
42.2,20.2,0.74,6,185
42.2,20.2,0.74,7,118
42.2,20.2,0.74,8,225
42.2,20.2,0.74,9,237
42.2,20.2,0.74,10,159
68.0,31.46,3.22,1,188
68.0,31.46,3.22,2,151
68.0,31.46,3.22,3,138
68.0,31.46,3.22,4,137
68.0,31.46,3.22,5,191
68.0,31.46,3.22,6,175
68.0,31.46,3.22,7,124
68.0,31.46,3.22,8,215
68.0,31.46,3.22,9,236
68.0,31.46,3.22,10,150
43.7,45.07,1.78,1,159
43.7,45.07,1.78,2,134
43.7,45.07,1.78,3,107
43.7,45.07,1.78,4,119
43.7,45.07,1.78,5,158
43.7,45.07,1.78,6,150
43.7,45.07,1.78,7,107
43.7,45.07,1.78,8,185
43.7,45.07,1.78,9,200
43.7,45.07,1.78,10,131
94.1,31.04,2.75,1,212
94.1,31.04,2.75,2,184
94.1,31.04,2.75,3,153
94.1,31.04,2.75,4,161
94.1,31.04,2.75,5,224
94.1,31.04,2.75,6,213
94.1,31.04,2.75,7,138
94.1,31.04,2.75,8,259
94.1,31.04,2.75,9,268
94.1,31.04,2.75,10,177
52.8,48.69,2.9,1,150
52.8,48.69,2.9,2,130
52.8,48.69,2.9,3,112
52.8,48.69,2.9,4,114
52.8,48.69,2.9,5,162
52.8,48.69,2.9,6,150
52.8,48.69,2.9,7,102
52.8,48.69,2.9,8,179
52.8,48.69,2.9,9,190
52.8,48.69,2.9,10,122
17.1,29.0,2.77,1,134
17.1,29.0,2.77,2,119
17.1,29.0,2.77,3,93
17.1,29.0,2.77,4,105
17.1,29.0,2.77,5,137
17.1,29.0,2.77,6,132
17.1,29.0,2.77,7,88
17.1,29.0,2.77,8,158
17.1,29.0,2.77,9,172
17.1,29.0,2.77,10,117
69.0,54.43,3.54,1,156
69.0,54.43,3.54,2,134
69.0,54.43,3.54,3,112
69.0,54.43,3.54,4,112
69.0,54.43,3.54,5,160
69.0,54.43,3.54,6,152
69.0,54.43,3.54,7,104
69.0,54.43,3.54,8,188
69.0,54.43,3.54,9,196
69.0,54.43,3.54,10,134
93.6,31.26,4.8,1,200
93.6,31.26,4.8,2,165
93.6,31.26,4.8,3,140
93.6,31.26,4.8,4,141
93.6,31.26,4.8,5,202
93.6,31.26,4.8,6,187
93.6,31.26,4.8,7,128
93.6,31.26,4.8,8,230
93.6,31.26,4.8,9,245
93.6,31.26,4.8,10,162
60.0,35.87,0.18,1,200
60.0,35.87,0.18,2,162
60.0,35.87,0.18,3,142
60.0,35.87,0.18,4,151
60.0,35.87,0.18,5,200
60.0,35.87,0.18,6,192
60.0,35.87,0.18,7,126
60.0,35.87,0.18,8,230
60.0,35.87,0.18,9,243
60.0,35.87,0.18,10,159
26.6,49.7,1.02,1,143
26.6,49.7,1.02,2,119
26.6,49.7,1.02,3,99
26.6,49.7,1.02,4,99
26.6,49.7,1.02,5,142
26.6,49.7,1.02,6,131
26.6,49.7,1.02,7,92
26.6,49.7,1.02,8,165
26.6,49.7,1.02,9,177
26.6,49.7,1.02,10,111
95.0,26.04,0.74,1,244
95.0,26.04,0.74,2,200
95.0,26.04,0.74,3,180
95.0,26.04,0.74,4,184
95.0,26.04,0.74,5,251
95.0,26.04,0.74,6,241
95.0,26.04,0.74,7,158
95.0,26.04,0.74,8,282
95.0,26.04,0.74,9,302
95.0,26.04,0.74,10,198
88.6,43.59,4.52,1,177
88.6,43.59,4.52,2,153
88.6,43.59,4.52,3,130
88.6,43.59,4.52,4,132
88.6,43.59,4.52,5,189
88.6,43.59,4.52,6,170
88.6,43.59,4.52,7,116
88.6,43.59,4.52,8,211
88.6,43.59,4.52,9,226
88.6,43.59,4.52,10,144
22.5,55.81,4.29,1,111
22.5,55.81,4.29,2,99
22.5,55.81,4.29,3,82
22.5,55.81,4.29,4,87
22.5,55.81,4.29,5,112
22.5,55.81,4.29,6,104
22.5,55.81,4.29,7,76
22.5,55.81,4.29,8,126
22.5,55.81,4.29,9,145
22.5,55.81,4.29,10,87
60.4,18.54,1.8,1,206
60.4,18.54,1.8,2,165
60.4,18.54,1.8,3,144
60.4,18.54,1.8,4,152
60.4,18.54,1.8,5,211
60.4,18.54,1.8,6,192
60.4,18.54,1.8,7,130
60.4,18.54,1.8,8,236
60.4,18.54,1.8,9,252
60.4,18.54,1.8,10,167
65.1,9.04,1.23,1,228
65.1,9.04,1.23,2,194
65.1,9.04,1.23,3,159
65.1,9.04,1.23,4,162
65.1,9.04,1.23,5,232
65.1,9.04,1.23,6,220
65.1,9.04,1.23,7,151
65.1,9.04,1.23,8,260
65.1,9.04,1.23,9,286
65.1,9.04,1.23,10,188
21.6,19.86,0.46,1,166
21.6,19.86,0.46,2,141
21.6,19.86,0.46,3,122
21.6,19.86,0.46,4,119
21.6,19.86,0.46,5,173
21.6,19.86,0.46,6,162
21.6,19.86,0.46,7,112
21.6,19.86,0.46,8,192
21.6,19.86,0.46,9,207
21.6,19.86,0.46,10,133
42.1,3.98,4.08,1,172
42.1,3.98,4.08,2,151
42.1,3.98,4.08,3,130
42.1,3.98,4.08,4,134
42.1,3.98,4.08,5,186
42.1,3.98,4.08,6,167
42.1,3.98,4.08,7,120
42.1,3.98,4.08,8,203
42.1,3.98,4.08,9,225
42.1,3.98,4.08,10,140
43.6,0.65,0.64,1,211
43.6,0.65,0.64,2,173
43.6,0.65,0.64,3,154
43.6,0.65,0.64,4,161
43.6,0.65,0.64,5,222
43.6,0.65,0.64,6,202
43.6,0.65,0.64,7,139
43.6,0.65,0.64,8,252
43.6,0.65,0.64,9,265
43.6,0.65,0.64,10,176
89.6,27.79,0.27,1,236
89.6,27.79,0.27,2,200
89.6,27.79,0.27,3,171
89.6,27.79,0.27,4,182
89.6,27.79,0.27,5,248
89.6,27.79,0.27,6,235
89.6,27.79,0.27,7,153
89.6,27.79,0.27,8,280
89.6,27.79,0.27,9,297
89.6,27.79,0.27,10,195
35.4,15.25,1.36,1,184
35.4,15.25,1.36,2,146
35.4,15.25,1.36,3,130
35.4,15.25,1.36,4,139
35.4,15.25,1.36,5,192
35.4,15.25,1.36,6,176
35.4,15.25,1.36,7,120
35.4,15.25,1.36,8,214
35.4,15.25,1.36,9,222
35.4,15.25,1.36,10,143
47.8,17.84,2.4,1,187
47.8,17.84,2.4,2,155
47.8,17.84,2.4,3,131
47.8,17.84,2.4,4,140
47.8,17.84,2.4,5,186
47.8,17.84,2.4,6,177
47.8,17.84,2.4,7,115
47.8,17.84,2.4,8,210
47.8,17.84,2.4,9,225
47.8,17.84,2.4,10,146
18.4,3.7,2.83,1,153
18.4,3.7,2.83,2,129
18.4,3.7,2.83,3,114
18.4,3.7,2.83,4,123
18.4,3.7,2.83,5,160
18.4,3.7,2.83,6,148
18.4,3.7,2.83,7,101
18.4,3.7,2.83,8,182
18.4,3.7,2.83,9,195
18.4,3.7,2.83,10,126
49.9,26.32,1.03,1,184
49.9,26.32,1.03,2,162
49.9,26.32,1.03,3,133
49.9,26.32,1.03,4,145
49.9,26.32,1.03,5,199
49.9,26.32,1.03,6,187
49.9,26.32,1.03,7,120
49.9,26.32,1.03,8,224
49.9,26.32,1.03,9,232
49.9,26.32,1.03,10,156
52.4,11.94,1.05,1,210
52.4,11.94,1.05,2,174
52.4,11.94,1.05,3,149
52.4,11.94,1.05,4,152
52.4,11.94,1.05,5,215
52.4,11.94,1.05,6,195
52.4,11.94,1.05,7,136
52.4,11.94,1.05,8,243
52.4,11.94,1.05,9,263
52.4,11.94,1.05,10,173
74.4,1.39,4.83,1,212
74.4,1.39,4.83,2,177
74.4,1.39,4.83,3,148
74.4,1.39,4.83,4,150
74.4,1.39,4.83,5,220
74.4,1.39,4.83,6,205
74.4,1.39,4.83,7,133
74.4,1.39,4.83,8,243
74.4,1.39,4.83,9,257
74.4,1.39,4.83,10,170
40.9,38.41,4.5,1,145
40.9,38.41,4.5,2,118
40.9,38.41,4.5,3,104
40.9,38.41,4.5,4,108
40.9,38.41,4.5,5,145
40.9,38.41,4.5,6,142
40.9,38.41,4.5,7,94
40.9,38.41,4.5,8,171
40.9,38.41,4.5,9,176
40.9,38.41,4.5,10,111
32.9,46.37,2.55,1,141
32.9,46.37,2.55,2,117
32.9,46.37,2.55,3,95
32.9,46.37,2.55,4,108
32.9,46.37,2.55,5,150
32.9,46.37,2.55,6,140
32.9,46.37,2.55,7,95
32.9,46.37,2.55,8,159
32.9,46.37,2.55,9,177
32.9,46.37,2.55,10,112
99.9,5.64,4.26,1,236
99.9,5.64,4.26,2,206
99.9,5.64,4.26,3,168
99.9,5.64,4.26,4,178
99.9,5.64,4.26,5,249
99.9,5.64,4.26,6,230
99.9,5.64,4.26,7,155
99.9,5.64,4.26,8,282
99.9,5.64,4.26,9,296
99.9,5.64,4.26,10,197
82.0,13.18,1.77,1,238
82.0,13.18,1.77,2,196
82.0,13.18,1.77,3,166
82.0,13.18,1.77,4,174
82.0,13.18,1.77,5,246
82.0,13.18,1.77,6,230
82.0,13.18,1.77,7,150
82.0,13.18,1.77,8,281
82.0,13.18,1.77,9,296
82.0,13.18,1.77,10,196
12.4,57.31,4.81,1,97
12.4,57.31,4.81,2,81
12.4,57.31,4.81,3,68
12.4,57.31,4.81,4,73
12.4,57.31,4.81,5,106
12.4,57.31,4.81,6,92
12.4,57.31,4.81,7,63
12.4,57.31,4.81,8,113
12.4,57.31,4.81,9,127
12.4,57.31,4.81,10,83
23.9,13.77,4.83,1,140
23.9,13.77,4.83,2,125
23.9,13.77,4.83,3,98
23.9,13.77,4.83,4,101
23.9,13.77,4.83,5,150
23.9,13.77,4.83,6,135
23.9,13.77,4.83,7,91
23.9,13.77,4.83,8,169
23.9,13.77,4.83,9,174
23.9,13.77,4.83,10,119
69.5,23.9,0.43,1,214
69.5,23.9,0.43,2,181
69.5,23.9,0.43,3,153
69.5,23.9,0.43,4,167
69.5,23.9,0.43,5,228
69.5,23.9,0.43,6,211
69.5,23.9,0.43,7,142
69.5,23.9,0.43,8,262
69.5,23.9,0.43,9,272
69.5,23.9,0.43,10,180
68.0,2.69,4.2,1,203
68.0,2.69,4.2,2,175
68.0,2.69,4.2,3,150
68.0,2.69,4.2,4,149
68.0,2.69,4.2,5,217
68.0,2.69,4.2,6,203
68.0,2.69,4.2,7,133
68.0,2.69,4.2,8,240
68.0,2.69,4.2,9,258
68.0,2.69,4.2,10,167
40.1,36.78,2.38,1,160
40.1,36.78,2.38,2,131
40.1,36.78,2.38,3,110
40.1,36.78,2.38,4,117
40.1,36.78,2.38,5,164
40.1,36.78,2.38,6,154
40.1,36.78,2.38,7,106
40.1,36.78,2.38,8,181
40.1,36.78,2.38,9,201
40.1,36.78,2.38,10,127
12.4,49.3,2.0,1,118
12.4,49.3,2.0,2,105
12.4,49.3,2.0,3,85
12.4,49.3,2.0,4,86
12.4,49.3,2.0,5,126
12.4,49.3,2.0,6,120
12.4,49.3,2.0,7,81
12.4,49.3,2.0,8,144
12.4,49.3,2.0,9,151
12.4,49.3,2.0,10,94
44.7,54.8,1.23,1,146
44.7,54.8,1.23,2,127
44.7,54.8,1.23,3,110
44.7,54.8,1.23,4,117
44.7,54.8,1.23,5,154
44.7,54.8,1.23,6,143
44.7,54.8,1.23,7,104
44.7,54.8,1.23,8,173
44.7,54.8,1.23,9,194
44.7,54.8,1.23,10,128
39.7,32.53,2.02,1,166
39.7,32.53,2.02,2,133
39.7,32.53,2.02,3,117
39.7,32.53,2.02,4,118
39.7,32.53,2.02,5,164
39.7,32.53,2.02,6,159
39.7,32.53,2.02,7,107
39.7,32.53,2.02,8,186
39.7,32.53,2.02,9,208
39.7,32.53,2.02,10,139
50.0,13.9,3.11,1,181
50.0,13.9,3.11,2,152
50.0,13.9,3.11,3,129
50.0,13.9,3.11,4,132
50.0,13.9,3.11,5,193
50.0,13.9,3.11,6,180
50.0,13.9,3.11,7,125
50.0,13.9,3.11,8,219
50.0,13.9,3.11,9,225
50.0,13.9,3.11,10,151
96.4,11.19,3.07,1,245
96.4,11.19,3.07,2,201
96.4,11.19,3.07,3,176
96.4,11.19,3.07,4,177
96.4,11.19,3.07,5,255
96.4,11.19,3.07,6,232
96.4,11.19,3.07,7,156
96.4,11.19,3.07,8,282
96.4,11.19,3.07,9,307
96.4,11.19,3.07,10,193
99.2,11.65,0.75,1,275
99.2,11.65,0.75,2,223
99.2,11.65,0.75,3,194
99.2,11.65,0.75,4,204
99.2,11.65,0.75,5,276
99.2,11.65,0.75,6,262
99.2,11.65,0.75,7,172
99.2,11.65,0.75,8,315
99.2,11.65,0.75,9,334
99.2,11.65,0.75,10,224
42.2,56.92,1.16,1,150
42.2,56.92,1.16,2,124
42.2,56.92,1.16,3,107
42.2,56.92,1.16,4,114
42.2,56.92,1.16,5,147
42.2,56.92,1.16,6,141
42.2,56.92,1.16,7,91
42.2,56.92,1.16,8,171
42.2,56.92,1.16,9,186
42.2,56.92,1.16,10,120
64.7,13.7,4.08,1,193
64.7,13.7,4.08,2,163
64.7,13.7,4.08,3,134
64.7,13.7,4.08,4,146
64.7,13.7,4.08,5,205
64.7,13.7,4.08,6,186
64.7,13.7,4.08,7,127
64.7,13.7,4.08,8,221
64.7,13.7,4.08,9,245
64.7,13.7,4.08,10,156
18.7,28.53,0.3,1,151
18.7,28.53,0.3,2,129
18.7,28.53,0.3,3,114
18.7,28.53,0.3,4,116
18.7,28.53,0.3,5,163
18.7,28.53,0.3,6,153
18.7,28.53,0.3,7,102
18.7,28.53,0.3,8,186
18.7,28.53,0.3,9,197
18.7,28.53,0.3,10,131
70.1,49.41,2.11,1,171
70.1,49.41,2.11,2,152
70.1,49.41,2.11,3,121
70.1,49.41,2.11,4,131
70.1,49.41,2.11,5,178
70.1,49.41,2.11,6,173
70.1,49.41,2.11,7,117
70.1,49.41,2.11,8,204
70.1,49.41,2.11,9,215
70.1,49.41,2.11,10,146
65.2,33.34,0.23,1,201
65.2,33.34,0.23,2,170
65.2,33.34,0.23,3,144
65.2,33.34,0.23,4,148
65.2,33.34,0.23,5,212
65.2,33.34,0.23,6,201
65.2,33.34,0.23,7,129
65.2,33.34,0.23,8,236
65.2,33.34,0.23,9,256
65.2,33.34,0.23,10,167
97.4,2.37,2.71,1,253
97.4,2.37,2.71,2,213
97.4,2.37,2.71,3,180
97.4,2.37,2.71,4,196
97.4,2.37,2.71,5,267
97.4,2.37,2.71,6,255
97.4,2.37,2.71,7,172
97.4,2.37,2.71,8,299
97.4,2.37,2.71,9,325
97.4,2.37,2.71,10,215
75.8,41.95,2.55,1,191
75.8,41.95,2.55,2,152
75.8,41.95,2.55,3,139
75.8,41.95,2.55,4,142
75.8,41.95,2.55,5,196
75.8,41.95,2.55,6,176
75.8,41.95,2.55,7,126
75.8,41.95,2.55,8,217
75.8,41.95,2.55,9,233
75.8,41.95,2.55,10,154
74.5,24.14,2.06,1,213
74.5,24.14,2.06,2,177
74.5,24.14,2.06,3,146
74.5,24.14,2.06,4,159
74.5,24.14,2.06,5,223
74.5,24.14,2.06,6,204
74.5,24.14,2.06,7,133
74.5,24.14,2.06,8,248
74.5,24.14,2.06,9,259
74.5,24.14,2.06,10,171
48.7,9.49,4.48,1,179
48.7,9.49,4.48,2,147
48.7,9.49,4.48,3,122
48.7,9.49,4.48,4,126
48.7,9.49,4.48,5,180
48.7,9.49,4.48,6,174
48.7,9.49,4.48,7,120
48.7,9.49,4.48,8,204
48.7,9.49,4.48,9,223
48.7,9.49,4.48,10,146
71.1,12.28,1.49,1,223
71.1,12.28,1.49,2,194
71.1,12.28,1.49,3,158
71.1,12.28,1.49,4,167
71.1,12.28,1.49,5,234
71.1,12.28,1.49,6,217
71.1,12.28,1.49,7,144
71.1,12.28,1.49,8,270
71.1,12.28,1.49,9,284
71.1,12.28,1.49,10,183
25.9,31.37,3.99,1,140
25.9,31.37,3.99,2,117
25.9,31.37,3.99,3,93
25.9,31.37,3.99,4,104
25.9,31.37,3.99,5,143
25.9,31.37,3.99,6,134
25.9,31.37,3.99,7,94
25.9,31.37,3.99,8,157
25.9,31.37,3.99,9,174
25.9,31.37,3.99,10,109
29.5,36.62,3.26,1,135
29.5,36.62,3.26,2,120
29.5,36.62,3.26,3,98
29.5,36.62,3.26,4,102
29.5,36.62,3.26,5,144
29.5,36.62,3.26,6,139
29.5,36.62,3.26,7,92
29.5,36.62,3.26,8,162
29.5,36.62,3.26,9,177
29.5,36.62,3.26,10,111
65.4,24.71,0.66,1,208
65.4,24.71,0.66,2,183
65.4,24.71,0.66,3,154
65.4,24.71,0.66,4,158
65.4,24.71,0.66,5,218
65.4,24.71,0.66,6,210
65.4,24.71,0.66,7,143
65.4,24.71,0.66,8,251
65.4,24.71,0.66,9,264
65.4,24.71,0.66,10,178
97.5,21.56,0.03,1,258
97.5,21.56,0.03,2,223
97.5,21.56,0.03,3,189
97.5,21.56,0.03,4,197
97.5,21.56,0.03,5,272
97.5,21.56,0.03,6,253
97.5,21.56,0.03,7,171
97.5,21.56,0.03,8,303
97.5,21.56,0.03,9,327
97.5,21.56,0.03,10,212
67.7,51.09,1.71,1,178
67.7,51.09,1.71,2,145
67.7,51.09,1.71,3,121
67.7,51.09,1.71,4,127
67.7,51.09,1.71,5,184
67.7,51.09,1.71,6,166
67.7,51.09,1.71,7,109
67.7,51.09,1.71,8,203
67.7,51.09,1.71,9,215
67.7,51.09,1.71,10,147
75.0,21.09,3.92,1,198
