temperature[F],precipitation[cm/hour],wind[km/hour],i,j,duration[min]
90.5,27.67,2.55,4,7,16.26
90.5,27.67,2.55,4,8,15.55
90.5,27.67,2.55,4,10,11.83
90.5,27.67,2.55,5,6,21.26
90.5,27.67,2.55,5,9,22.55
90.5,27.67,2.55,7,8,17.99
90.5,27.67,2.55,7,10,10.97
90.5,27.67,2.55,8,10,8.26
59.6,31.41,0.48,0,1,8.59
59.6,31.41,0.48,0,2,22.12
59.6,31.41,0.48,0,3,4.49
59.6,31.41,0.48,0,5,18.45
59.6,31.41,0.48,0,7,21.14
59.6,31.41,0.48,0,8,13.26
59.6,31.41,0.48,0,9,13.4
59.6,31.41,0.48,0,10,11.01
59.6,31.41,0.48,1,2,17.86
59.6,31.41,0.48,1,3,10.07
59.6,31.41,0.48,1,5,17.14
59.6,31.41,0.48,1,7,16.75
59.6,31.41,0.48,1,8,17.34
59.6,31.41,0.48,1,9,5.42
59.6,31.41,0.48,1,10,19.72
59.6,31.41,0.48,2,7,14.96
59.6,31.41,0.48,2,9,12.12
59.6,31.41,0.48,2,10,23.19
59.6,31.41,0.48,3,5,16.49
59.6,31.41,0.48,3,6,20.02
59.6,31.41,0.48,3,8,12.67
59.6,31.41,0.48,3,9,12.93
59.6,31.41,0.48,3,10,19.74
59.6,31.41,0.48,4,7,12.72
59.6,31.41,0.48,4,8,13.51
59.6,31.41,0.48,4,10,8.39
59.6,31.41,0.48,5,6,16.49
59.6,31.41,0.48,5,9,18.33
59.6,31.41,0.48,7,8,14.62
59.6,31.41,0.48,7,10,7.67
59.6,31.41,0.48,8,10,5.58
21.3,6.48,0.85,0,1,8.25
21.3,6.48,0.85,0,2,24.56
21.3,6.48,0.85,0,3,5.98
21.3,6.48,0.85,0,5,20.86
21.3,6.48,0.85,0,7,22.32
21.3,6.48,0.85,0,8,13.14
21.3,6.48,0.85,0,9,14.76
21.3,6.48,0.85,0,10,16.6
21.3,6.48,0.85,1,2,16.61
21.3,6.48,0.85,1,3,11.06
21.3,6.48,0.85,1,5,21.07
21.3,6.48,0.85,1,7,22.4
21.3,6.48,0.85,1,8,19.89
21.3,6.48,0.85,1,9,5.69
21.3,6.48,0.85,1,10,19.15
21.3,6.48,0.85,2,7,18.94
21.3,6.48,0.85,2,9,17.19
21.3,6.48,0.85,2,10,24.97
21.3,6.48,0.85,3,5,17.08
21.3,6.48,0.85,3,6,23.0
21.3,6.48,0.85,3,8,16.57
21.3,6.48,0.85,3,9,16.19
21.3,6.48,0.85,3,10,22.17
21.3,6.48,0.85,4,7,13.23
21.3,6.48,0.85,4,8,16.15
21.3,6.48,0.85,4,10,9.68
21.3,6.48,0.85,5,6,18.83
21.3,6.48,0.85,5,9,22.16
21.3,6.48,0.85,7,8,15.16
21.3,6.48,0.85,7,10,9.23
21.3,6.48,0.85,8,10,6.8
17.9,15.34,1.63,0,1,10.2
17.9,15.34,1.63,0,2,27.0
17.9,15.34,1.63,0,3,5.88
17.9,15.34,1.63,0,5,23.44
17.9,15.34,1.63,0,7,27.08
17.9,15.34,1.63,0,8,15.69
17.9,15.34,1.63,0,9,18.47
17.9,15.34,1.63,0,10,21.59
17.9,15.34,1.63,1,2,22.75
17.9,15.34,1.63,1,3,13.25
17.9,15.34,1.63,1,5,23.98
17.9,15.34,1.63,1,7,24.02
17.9,15.34,1.63,1,8,20.66
17.9,15.34,1.63,1,9,7.07
17.9,15.34,1.63,1,10,22.79
17.9,15.34,1.63,2,7,20.28
17.9,15.34,1.63,2,9,18.29
17.9,15.34,1.63,2,10,28.81
17.9,15.34,1.63,3,5,22.12
17.9,15.34,1.63,3,6,28.31
17.9,15.34,1.63,3,8,16.45
17.9,15.34,1.63,3,9,18.12
17.9,15.34,1.63,3,10,25.31
17.9,15.34,1.63,4,7,15.33
17.9,15.34,1.63,4,8,18.58
17.9,15.34,1.63,4,10,11.68
17.9,15.34,1.63,5,6,21.37
17.9,15.34,1.63,5,9,24.66
17.9,15.34,1.63,7,8,17.65
17.9,15.34,1.63,7,10,11.98
17.9,15.34,1.63,8,10,8.07
46.1,52.67,2.64,0,1,13.93
46.1,52.67,2.64,0,2,38.94
46.1,52.67,2.64,0,3,7.57
46.1,52.67,2.64,0,5,30.85
46.1,52.67,2.64,0,7,30.75
46.1,52.67,2.64,0,8,19.15
46.1,52.67,2.64,0,9,23.61
46.1,52.67,2.64,0,10,21.69
46.1,52.67,2.64,1,2,28.03
46.1,52.67,2.64,1,3,15.11
46.1,52.67,2.64,1,5,28.37
46.1,52.67,2.64,1,7,26.8
46.1,52.67,2.64,1,8,29.14
46.1,52.67,2.64,1,9,8.75
46.1,52.67,2.64,1,10,27.7
46.1,52.67,2.64,2,7,24.7
46.1,52.67,2.64,2,9,21.3
46.1,52.67,2.64,2,10,34.45
46.1,52.67,2.64,3,5,27.83
46.1,52.67,2.64,3,6,34.87
46.1,52.67,2.64,3,8,18.53
46.1,52.67,2.64,3,9,18.25
46.1,52.67,2.64,3,10,30.99
46.1,52.67,2.64,4,7,21.15
46.1,52.67,2.64,4,8,22.24
46.1,52.67,2.64,4,10,13.18
46.1,52.67,2.64,5,6,25.09
46.1,52.67,2.64,5,9,29.33
46.1,52.67,2.64,7,8,22.53
46.1,52.67,2.64,7,10,12.18
46.1,52.67,2.64,8,10,10.22
93.6,6.87,0.39,0,1,6.12
93.6,6.87,0.39,0,2,18.37
93.6,6.87,0.39,0,3,3.56
93.6,6.87,0.39,0,5,16.29
93.6,6.87,0.39,0,7,14.26
93.6,6.87,0.39,0,8,10.19
93.6,6.87,0.39,0,9,10.12
93.6,6.87,0.39,0,10,12.11
93.6,6.87,0.39,1,2,12.65
93.6,6.87,0.39,1,3,7.83
93.6,6.87,0.39,1,5,16.68
93.6,6.87,0.39,1,7,16.56
93.6,6.87,0.39,1,8,14.0
93.6,6.87,0.39,1,9,4.16
93.6,6.87,0.39,1,10,15.11
93.6,6.87,0.39,2,7,13.16
93.6,6.87,0.39,2,9,11.38
93.6,6.87,0.39,2,10,18.79
93.6,6.87,0.39,3,5,12.23
93.6,6.87,0.39,3,6,15.29
93.6,6.87,0.39,3,8,11.08
93.6,6.87,0.39,3,9,11.94
93.6,6.87,0.39,3,10,14.73
93.6,6.87,0.39,4,7,9.59
93.6,6.87,0.39,4,8,10.66
93.6,6.87,0.39,4,10,7.26
93.6,6.87,0.39,5,6,15.14
93.6,6.87,0.39,5,9,15.13
93.6,6.87,0.39,7,8,11.48
93.6,6.87,0.39,7,10,6.5
93.6,6.87,0.39,8,10,4.97
87.6,57.68,4.8,0,1,15.59
87.6,57.68,4.8,0,2,48.11
87.6,57.68,4.8,0,3,10.75
87.6,57.68,4.8,0,5,36.54
87.6,57.68,4.8,0,7,35.38
87.6,57.68,4.8,0,8,29.83
87.6,57.68,4.8,0,9,28.72
87.6,57.68,4.8,0,10,27.16
87.6,57.68,4.8,1,2,30.56
87.6,57.68,4.8,1,3,22.18
87.6,57.68,4.8,1,5,36.2
87.6,57.68,4.8,1,7,40.55
87.6,57.68,4.8,1,8,41.11
87.6,57.68,4.8,1,9,10.94
87.6,57.68,4.8,1,10,40.27
87.6,57.68,4.8,2,7,31.21
87.6,57.68,4.8,2,9,24.62
87.6,57.68,4.8,2,10,48.35
87.6,57.68,4.8,3,5,33.78
87.6,57.68,4.8,3,6,42.22
87.6,57.68,4.8,3,8,26.95
87.6,57.68,4.8,3,9,26.74
87.6,57.68,4.8,3,10,40.35
87.6,57.68,4.8,4,7,27.06
87.6,57.68,4.8,4,8,27.28
87.6,57.68,4.8,4,10,19.17
87.6,57.68,4.8,5,6,37.3
87.6,57.68,4.8,5,9,37.33
87.6,57.68,4.8,7,8,27.6
87.6,57.68,4.8,7,10,18.81
87.6,57.68,4.8,8,10,12.04
27.2,48.94,4.15,0,1,16.84
27.2,48.94,4.15,0,2,43.21
27.2,48.94,4.15,0,3,11.12
27.2,48.94,4.15,0,5,41.85
27.2,48.94,4.15,0,7,37.8
27.2,48.94,4.15,0,8,29.97
27.2,48.94,4.15,0,9,29.19
27.2,48.94,4.15,0,10,28.66
27.2,48.94,4.15,1,2,36.03
27.2,48.94,4.15,1,3,19.96
27.2,48.94,4.15,1,5,37.45
27.2,48.94,4.15,1,7,39.16
27.2,48.94,4.15,1,8,40.36
27.2,48.94,4.15,1,9,10.46
27.2,48.94,4.15,1,10,37.57
27.2,48.94,4.15,2,7,31.3
27.2,48.94,4.15,2,9,27.11
27.2,48.94,4.15,2,10,51.24
27.2,48.94,4.15,3,5,33.85
27.2,48.94,4.15,3,6,45.81
27.2,48.94,4.15,3,8,24.79
27.2,48.94,4.15,3,9,24.66
27.2,48.94,4.15,3,10,40.91
27.2,48.94,4.15,4,7,24.13
27.2,48.94,4.15,4,8,30.07
27.2,48.94,4.15,4,10,18.08
27.2,48.94,4.15,5,6,33.9
27.2,48.94,4.15,5,9,38.05
27.2,48.94,4.15,7,8,31.69
27.2,48.94,4.15,7,10,17.1
27.2,48.94,4.15,8,10,14.16
26.6,32.93,0.77,0,1,11.52
26.6,32.93,0.77,0,2,32.24
26.6,32.93,0.77,0,3,5.69
26.6,32.93,0.77,0,5,22.35
26.6,32.93,0.77,0,7,28.41
26.6,32.93,0.77,0,8,15.58
26.6,32.93,0.77,0,9,15.47
26.6,32.93,0.77,0,10,18.76
26.6,32.93,0.77,1,2,23.55
26.6,32.93,0.77,1,3,14.75
26.6,32.93,0.77,1,5,22.02
26.6,32.93,0.77,1,7,23.52
26.6,32.93,0.77,1,8,21.19
26.6,32.93,0.77,1,9,6.43
26.6,32.93,0.77,1,10,23.88
26.6,32.93,0.77,2,7,19.8
26.6,32.93,0.77,2,9,16.52
26.6,32.93,0.77,2,10,26.48
26.6,32.93,0.77,3,5,21.2
26.6,32.93,0.77,3,6,24.06
26.6,32.93,0.77,3,8,16.97
26.6,32.93,0.77,3,9,18.93
26.6,32.93,0.77,3,10,27.62
26.6,32.93,0.77,4,7,14.45
26.6,32.93,0.77,4,8,19.22
26.6,32.93,0.77,4,10,11.33
26.6,32.93,0.77,5,6,23.04
26.6,32.93,0.77,5,9,25.38
26.6,32.93,0.77,7,8,18.08
26.6,32.93,0.77,7,10,11.61
26.6,32.93,0.77,8,10,8.73
23.1,54.75,2.29,0,1,15.03
23.1,54.75,2.29,0,2,39.03
23.1,54.75,2.29,0,3,8.61
23.1,54.75,2.29,0,5,31.87
23.1,54.75,2.29,0,7,39.8
23.1,54.75,2.29,0,8,23.08
23.1,54.75,2.29,0,9,24.33
23.1,54.75,2.29,0,10,25.4
23.1,54.75,2.29,1,2,29.78
23.1,54.75,2.29,1,3,20.42
23.1,54.75,2.29,1,5,34.66
23.1,54.75,2.29,1,7,31.62
23.1,54.75,2.29,1,8,32.85
23.1,54.75,2.29,1,9,8.78
23.1,54.75,2.29,1,10,33.26
23.1,54.75,2.29,2,7,29.99
23.1,54.75,2.29,2,9,24.46
23.1,54.75,2.29,2,10,44.73
23.1,54.75,2.29,3,5,32.74
23.1,54.75,2.29,3,6,40.37
23.1,54.75,2.29,3,8,22.41
23.1,54.75,2.29,3,9,23.89
23.1,54.75,2.29,3,10,33.68
23.1,54.75,2.29,4,7,23.51
23.1,54.75,2.29,4,8,23.3
23.1,54.75,2.29,4,10,15.35
23.1,54.75,2.29,5,6,28.77
23.1,54.75,2.29,5,9,35.63
23.1,54.75,2.29,7,8,23.61
23.1,54.75,2.29,7,10,17.17
23.1,54.75,2.29,8,10,10.98
47.7,28.56,4.06,0,1,10.77
47.7,28.56,4.06,0,2,28.95
47.7,28.56,4.06,0,3,7.59
47.7,28.56,4.06,0,5,30.08
47.7,28.56,4.06,0,7,25.62
47.7,28.56,4.06,0,8,20.82
47.7,28.56,4.06,0,9,22.62
47.7,28.56,4.06,0,10,21.65
47.7,28.56,4.06,1,2,21.81
47.7,28.56,4.06,1,3,14.21
47.7,28.56,4.06,1,5,24.01
47.7,28.56,4.06,1,7,25.71
47.7,28.56,4.06,1,8,27.95
47.7,28.56,4.06,1,9,8.11
47.7,28.56,4.06,1,10,24.71
47.7,28.56,4.06,2,7,21.47
47.7,28.56,4.06,2,9,17.4
47.7,28.56,4.06,2,10,36.61
47.7,28.56,4.06,3,5,20.61
47.7,28.56,4.06,3,6,30.73
47.7,28.56,4.06,3,8,19.09
47.7,28.56,4.06,3,9,16.95
47.7,28.56,4.06,3,10,27.87
47.7,28.56,4.06,4,7,20.73
47.7,28.56,4.06,4,8,20.69
47.7,28.56,4.06,4,10,14.2
47.7,28.56,4.06,5,6,27.49
47.7,28.56,4.06,5,9,24.49
47.7,28.56,4.06,7,8,21.82
47.7,28.56,4.06,7,10,12.17
47.7,28.56,4.06,8,10,8.17
19.8,25.0,3.09,0,1,13.24
19.8,25.0,3.09,0,2,33.9
19.8,25.0,3.09,0,3,8.49
19.8,25.0,3.09,0,5,34.53
19.8,25.0,3.09,0,7,30.04
19.8,25.0,3.09,0,8,23.15
19.8,25.0,3.09,0,9,24.46
19.8,25.0,3.09,0,10,24.46
19.8,25.0,3.09,1,2,25.65
19.8,25.0,3.09,1,3,15.15
19.8,25.0,3.09,1,5,30.57
19.8,25.0,3.09,1,7,30.46
19.8,25.0,3.09,1,8,29.28
19.8,25.0,3.09,1,9,8.83
19.8,25.0,3.09,1,10,29.66
19.8,25.0,3.09,2,7,24.37
19.8,25.0,3.09,2,9,22.73
19.8,25.0,3.09,2,10,37.8
19.8,25.0,3.09,3,5,23.23
19.8,25.0,3.09,3,6,35.5
19.8,25.0,3.09,3,8,20.89
19.8,25.0,3.09,3,9,21.99
19.8,25.0,3.09,3,10,33.53
19.8,25.0,3.09,4,7,19.51
19.8,25.0,3.09,4,8,23.37
19.8,25.0,3.09,4,10,14.16
19.8,25.0,3.09,5,6,28.6
19.8,25.0,3.09,5,9,29.11
19.8,25.0,3.09,7,8,22.52
19.8,25.0,3.09,7,10,13.3
19.8,25.0,3.09,8,10,10.82
28.4,52.89,3.37,0,1,15.87
28.4,52.89,3.37,0,2,40.77
28.4,52.89,3.37,0,3,8.92
28.4,52.89,3.37,0,5,35.12
28.4,52.89,3.37,0,7,38.89
28.4,52.89,3.37,0,8,27.31
28.4,52.89,3.37,0,9,29.68
28.4,52.89,3.37,0,10,25.76
28.4,52.89,3.37,1,2,35.55
28.4,52.89,3.37,1,3,20.61
28.4,52.89,3.37,1,5,33.08
28.4,52.89,3.37,1,7,37.96
28.4,52.89,3.37,1,8,32.12
28.4,52.89,3.37,1,9,11.43
28.4,52.89,3.37,1,10,38.01
28.4,52.89,3.37,2,7,27.67
28.4,52.89,3.37,2,9,28.48
28.4,52.89,3.37,2,10,44.41
28.4,52.89,3.37,3,5,30.19
28.4,52.89,3.37,3,6,38.82
28.4,52.89,3.37,3,8,24.11
28.4,52.89,3.37,3,9,27.28
28.4,52.89,3.37,3,10,41.0
28.4,52.89,3.37,4,7,27.19
28.4,52.89,3.37,4,8,25.79
28.4,52.89,3.37,4,10,17.71
28.4,52.89,3.37,5,6,33.71
28.4,52.89,3.37,5,9,35.03
28.4,52.89,3.37,7,8,29.17
28.4,52.89,3.37,7,10,16.04
28.4,52.89,3.37,8,10,12.41
52.1,35.3,1.08,0,1,8.77
52.1,35.3,1.08,0,2,27.93
52.1,35.3,1.08,0,3,5.25
52.1,35.3,1.08,0,5,19.72
52.1,35.3,1.08,0,7,24.25
52.1,35.3,1.08,0,8,14.55
52.1,35.3,1.08,0,9,16.02
52.1,35.3,1.08,0,10,12.81
52.1,35.3,1.08,1,2,17.06
52.1,35.3,1.08,1,3,12.52
52.1,35.3,1.08,1,5,17.4
52.1,35.3,1.08,1,7,22.66
52.1,35.3,1.08,1,8,16.78
52.1,35.3,1.08,1,9,5.69
52.1,35.3,1.08,1,10,19.97
52.1,35.3,1.08,2,7,16.22
52.1,35.3,1.08,2,9,14.98
52.1,35.3,1.08,2,10,22.42
52.1,35.3,1.08,3,5,18.32
52.1,35.3,1.08,3,6,22.5
52.1,35.3,1.08,3,8,13.51
52.1,35.3,1.08,3,9,12.93
52.1,35.3,1.08,3,10,21.15
52.1,35.3,1.08,4,7,13.11
52.1,35.3,1.08,4,8,14.75
52.1,35.3,1.08,4,10,9.27
52.1,35.3,1.08,5,6,17.86
52.1,35.3,1.08,5,9,18.74
52.1,35.3,1.08,7,8,14.5
52.1,35.3,1.08,7,10,9.89
52.1,35.3,1.08,8,10,7.58
42.0,4.81,1.91,0,1,6.91
42.0,4.81,1.91,0,2,19.95
42.0,4.81,1.91,0,3,4.52
42.0,4.81,1.91,0,5,20.51
42.0,4.81,1.91,0,7,16.86
42.0,4.81,1.91,0,8,10.81
42.0,4.81,1.91,0,9,12.77
42.0,4.81,1.91,0,10,12.94
42.0,4.81,1.91,1,2,13.87
42.0,4.81,1.91,1,3,9.76
42.0,4.81,1.91,1,5,18.7
42.0,4.81,1.91,1,7,16.93
42.0,4.81,1.91,1,8,17.94
42.0,4.81,1.91,1,9,5.29
42.0,4.81,1.91,1,10,17.39
42.0,4.81,1.91,2,7,12.67
42.0,4.81,1.91,2,9,13.36
42.0,4.81,1.91,2,10,20.12
42.0,4.81,1.91,3,5,13.61
42.0,4.81,1.91,3,6,16.34
42.0,4.81,1.91,3,8,13.73
42.0,4.81,1.91,3,9,11.06
42.0,4.81,1.91,3,10,17.61
42.0,4.81,1.91,4,7,12.25
42.0,4.81,1.91,4,8,13.24
42.0,4.81,1.91,4,10,8.98
42.0,4.81,1.91,5,6,16.0
42.0,4.81,1.91,5,9,17.81
42.0,4.81,1.91,7,8,12.47
42.0,4.81,1.91,7,10,8.19
42.0,4.81,1.91,8,10,5.11
43.6,0.65,0.64,0,1,5.95
43.6,0.65,0.64,0,2,14.65
43.6,0.65,0.64,0,3,4.11
43.6,0.65,0.64,0,5,17.02
43.6,0.65,0.64,0,7,15.05
43.6,0.65,0.64,0,8,8.74
43.6,0.65,0.64,0,9,10.69
43.6,0.65,0.64,0,10,12.81
43.6,0.65,0.64,1,2,11.74
43.6,0.65,0.64,1,3,8.68
43.6,0.65,0.64,1,5,16.71
43.6,0.65,0.64,1,7,15.03
43.6,0.65,0.64,1,8,12.62
43.6,0.65,0.64,1,9,3.85
43.6,0.65,0.64,1,10,13.75
43.6,0.65,0.64,2,7,11.5
43.6,0.65,0.64,2,9,12.64
43.6,0.65,0.64,2,10,16.53
43.6,0.65,0.64,3,5,13.0
43.6,0.65,0.64,3,6,13.22
43.6,0.65,0.64,3,8,10.66
43.6,0.65,0.64,3,9,10.04
43.6,0.65,0.64,3,10,14.07
43.6,0.65,0.64,4,7,9.04
43.6,0.65,0.64,4,8,10.03
43.6,0.65,0.64,4,10,6.88
43.6,0.65,0.64,5,6,15.54
43.6,0.65,0.64,5,9,12.97
43.6,0.65,0.64,7,8,11.19
43.6,0.65,0.64,7,10,6.97
43.6,0.65,0.64,8,10,5.19
72.9,43.74,4.08,0,1,12.31
72.9,43.74,4.08,0,2,34.78
72.9,43.74,4.08,0,3,8.18
72.9,43.74,4.08,0,5,31.46
72.9,43.74,4.08,0,7,30.91
72.9,43.74,4.08,0,8,24.68
72.9,43.74,4.08,0,9,25.86
72.9,43.74,4.08,0,10,23.26
72.9,43.74,4.08,1,2,28.53
72.9,43.74,4.08,1,3,15.97
72.9,43.74,4.08,1,5,29.18
72.9,43.74,4.08,1,7,29.37
72.9,43.74,4.08,1,8,28.91
72.9,43.74,4.08,1,9,8.28
72.9,43.74,4.08,1,10,28.18
72.9,43.74,4.08,2,7,21.86
72.9,43.74,4.08,2,9,19.87
72.9,43.74,4.08,2,10,40.94
72.9,43.74,4.08,3,5,24.81
72.9,43.74,4.08,3,6,33.1
72.9,43.74,4.08,3,8,21.99
72.9,43.74,4.08,3,9,22.59
72.9,43.74,4.08,3,10,30.36
72.9,43.74,4.08,4,7,19.84
72.9,43.74,4.08,4,8,22.51
72.9,43.74,4.08,4,10,13.65
72.9,43.74,4.08,5,6,27.81
72.9,43.74,4.08,5,9,27.82
72.9,43.74,4.08,7,8,24.46
72.9,43.74,4.08,7,10,14.33
72.9,43.74,4.08,8,10,10.03
21.8,54.24,1.78,0,1,16.21
21.8,54.24,1.78,0,2,42.71
21.8,54.24,1.78,0,3,8.27
21.8,54.24,1.78,0,5,28.92
21.8,54.24,1.78,0,7,36.84
21.8,54.24,1.78,0,8,20.89
21.8,54.24,1.78,0,9,23.95
21.8,54.24,1.78,0,10,22.26
21.8,54.24,1.78,1,2,27.38
21.8,54.24,1.78,1,3,17.27
21.8,54.24,1.78,1,5,32.44
21.8,54.24,1.78,1,7,33.0
21.8,54.24,1.78,1,8,28.85
21.8,54.24,1.78,1,9,8.58
21.8,54.24,1.78,1,10,32.41
21.8,54.24,1.78,2,7,23.81
21.8,54.24,1.78,2,9,22.82
21.8,54.24,1.78,2,10,38.39
21.8,54.24,1.78,3,5,32.03
21.8,54.24,1.78,3,6,36.68
21.8,54.24,1.78,3,8,21.59
21.8,54.24,1.78,3,9,20.27
21.8,54.24,1.78,3,10,38.07
21.8,54.24,1.78,4,7,22.25
21.8,54.24,1.78,4,8,23.96
21.8,54.24,1.78,4,10,13.55
21.8,54.24,1.78,5,6,24.51
21.8,54.24,1.78,5,9,34.0
21.8,54.24,1.78,7,8,25.04
21.8,54.24,1.78,7,10,14.17
21.8,54.24,1.78,8,10,10.5
24.2,26.49,1.72,0,1,11.77
24.2,26.49,1.72,0,2,33.36
24.2,26.49,1.72,0,3,7.15
24.2,26.49,1.72,0,5,26.58
24.2,26.49,1.72,0,7,28.15
24.2,26.49,1.72,0,8,18.56
24.2,26.49,1.72,0,9,18.4
24.2,26.49,1.72,0,10,21.95
24.2,26.49,1.72,1,2,23.92
24.2,26.49,1.72,1,3,16.21
24.2,26.49,1.72,1,5,26.21
24.2,26.49,1.72,1,7,24.92
24.2,26.49,1.72,1,8,23.19
24.2,26.49,1.72,1,9,7.87
24.2,26.49,1.72,1,10,26.04
24.2,26.49,1.72,2,7,22.0
24.2,26.49,1.72,2,9,19.37
24.2,26.49,1.72,2,10,28.48
24.2,26.49,1.72,3,5,24.56
24.2,26.49,1.72,3,6,30.4
24.2,26.49,1.72,3,8,19.92
24.2,26.49,1.72,3,9,20.37
24.2,26.49,1.72,3,10,24.93
24.2,26.49,1.72,4,7,18.51
24.2,26.49,1.72,4,8,18.32
24.2,26.49,1.72,4,10,13.61
24.2,26.49,1.72,5,6,21.95
24.2,26.49,1.72,5,9,28.15
24.2,26.49,1.72,7,8,18.61
24.2,26.49,1.72,7,10,13.29
24.2,26.49,1.72,8,10,8.33
55.3,34.13,1.86,0,1,9.76
55.3,34.13,1.86,0,2,28.61
55.3,34.13,1.86,0,3,5.29
55.3,34.13,1.86,0,5,23.23
55.3,34.13,1.86,0,7,24.76
55.3,34.13,1.86,0,8,14.9
55.3,34.13,1.86,0,9,16.6
55.3,34.13,1.86,0,10,17.04
55.3,34.13,1.86,1,2,19.08
55.3,34.13,1.86,1,3,12.18
55.3,34.13,1.86,1,5,20.85
55.3,34.13,1.86,1,7,23.69
55.3,34.13,1.86,1,8,22.12
55.3,34.13,1.86,1,9,5.89
55.3,34.13,1.86,1,10,24.41
55.3,34.13,1.86,2,7,18.26
55.3,34.13,1.86,2,9,16.54
55.3,34.13,1.86,2,10,25.24
55.3,34.13,1.86,3,5,22.19
55.3,34.13,1.86,3,6,26.86
55.3,34.13,1.86,3,8,14.39
55.3,34.13,1.86,3,9,14.38
55.3,34.13,1.86,3,10,22.37
55.3,34.13,1.86,4,7,15.0
55.3,34.13,1.86,4,8,16.95
55.3,34.13,1.86,4,10,9.34
55.3,34.13,1.86,5,6,19.24
55.3,34.13,1.86,5,9,20.22
55.3,34.13,1.86,7,8,17.82
55.3,34.13,1.86,7,10,10.39
55.3,34.13,1.86,8,10,7.09
30.7,57.92,1.68,0,1,15.81
30.7,57.92,1.68,0,2,36.53
30.7,57.92,1.68,0,3,6.69
30.7,57.92,1.68,0,5,31.18
30.7,57.92,1.68,0,7,32.08
30.7,57.92,1.68,0,8,20.8
30.7,57.92,1.68,0,9,23.89
30.7,57.92,1.68,0,10,19.49
30.7,57.92,1.68,1,2,29.36
30.7,57.92,1.68,1,3,18.72
30.7,57.92,1.68,1,5,28.57
30.7,57.92,1.68,1,7,29.22
30.7,57.92,1.68,1,8,25.67
30.7,57.92,1.68,1,9,8.09
30.7,57.92,1.68,1,10,28.99
30.7,57.92,1.68,2,7,27.72
30.7,57.92,1.68,2,9,21.48
30.7,57.92,1.68,2,10,37.6
30.7,57.92,1.68,3,5,28.5
30.7,57.92,1.68,3,6,36.84
30.7,57.92,1.68,3,8,19.39
30.7,57.92,1.68,3,9,21.53
30.7,57.92,1.68,3,10,35.33
30.7,57.92,1.68,4,7,18.91
30.7,57.92,1.68,4,8,24.23
30.7,57.92,1.68,4,10,12.83
30.7,57.92,1.68,5,6,27.03
30.7,57.92,1.68,5,9,32.24
30.7,57.92,1.68,7,8,21.67
30.7,57.92,1.68,7,10,15.14
30.7,57.92,1.68,8,10,11.33
38.7,21.1,2.61,0,1,8.5
38.7,21.1,2.61,0,2,24.14
38.7,21.1,2.61,0,3,5.98
38.7,21.1,2.61,0,5,22.99
38.7,21.1,2.61,0,7,22.19
38.7,21.1,2.61,0,8,15.31
38.7,21.1,2.61,0,9,16.16
38.7,21.1,2.61,0,10,16.98
38.7,21.1,2.61,1,2,18.68
38.7,21.1,2.61,1,3,12.45
38.7,21.1,2.61,1,5,22.67
38.7,21.1,2.61,1,7,21.24
38.7,21.1,2.61,1,8,23.67
38.7,21.1,2.61,1,9,6.14
